allresults1,allresults2,allresults3,allresults4
Series 1,Series 2,Slope,R^2
GDPC1,UNRATE,5.0505e-05,0.024522
GDPC1,SAHMCURRENT,-2.9308e-05,0.029274
GDPC1,M2,0.95864,0.88956
GDPC1,M2V,-1.3739e-06,0.0012664
GDPC1,CPGDPAI,0.00044229,0.0572
GDPC1,T10Y2Y,8.292e-05,0.12432
GDPC1,EFFR,-0.00033084,0.09441
GDPC1,GOLDAMGBD228NLBM,0.081143,0.65126
GDPC1,SP500,0.53176,0.96979
GDPC1,DJIA,4.6182,0.95533
GDPC1,CPIAUCSL,0.014987,0.98351
GDPC1,VIXCLS,-0.00015322,0.0031257
GDPC1,SIPOVGINIUSA,0.00048459,0.72363
GDPC1,QUSR628BIS,0.004413,0.71713
GDPC1,UMCSENT,0.0001146,0.0017763
GDPC1,MEHOINUSA672N,0.65464,0.54984
UNRATE,SAHMCURRENT,0.23659,0.20098
UNRATE,M2,-502.5649,0.076614
UNRATE,M2V,-0.010238,0.0079006
UNRATE,CPGDPAI,-0.14826,0.016598
UNRATE,T10Y2Y,0.15391,0.073961
UNRATE,EFFR,-0.55106,0.29834
UNRATE,GOLDAMGBD228NLBM,26.1883,0.01023
UNRATE,SP500,-264.0204,0.92776
UNRATE,DJIA,-2229.652,0.87162
UNRATE,CPIAUCSL,9.0418,0.036872
UNRATE,VIXCLS,1.6108,0.10842
UNRATE,SIPOVGINIUSA,-0.20433,0.024929
UNRATE,QUSR628BIS,-5.2803,0.14241
UNRATE,UMCSENT,-4.3585,0.337
UNRATE,MEHOINUSA672N,-1222.596,0.3922
SAHMCURRENT,M2,-511.914,0.015335
SAHMCURRENT,M2V,-0.00065259,7.424e-06
SAHMCURRENT,CPGDPAI,-0.84293,0.12305
SAHMCURRENT,T10Y2Y,-0.12702,0.010088
SAHMCURRENT,EFFR,-0.18358,0.0076665
SAHMCURRENT,GOLDAMGBD228NLBM,-66.6621,0.015889
SAHMCURRENT,SP500,-420.3151,0.045479
SAHMCURRENT,DJIA,-3498.598,0.041546
SAHMCURRENT,CPIAUCSL,-13.4376,0.022697
SAHMCURRENT,VIXCLS,5.7447,0.29949
SAHMCURRENT,SIPOVGINIUSA,-0.73616,0.032341
SAHMCURRENT,QUSR628BIS,-5.4785,0.041113
SAHMCURRENT,UMCSENT,-7.74,0.23829
SAHMCURRENT,MEHOINUSA672N,20.3546,2.405e-05
M2,M2V,-4.121e-05,0.47893
M2,CPGDPAI,0.00020169,0.048288
M2,T10Y2Y,5.7169e-05,0.059643
M2,EFFR,-0.00026983,0.20599
M2,GOLDAMGBD228NLBM,0.099732,0.74769
M2,SP500,0.28745,0.96162
M2,DJIA,2.481,0.93843
M2,CPIAUCSL,0.015434,0.90239
